Strain,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
hybridol t rs 8013 ndc 5030,8.21,71.92,<0.1,<0.1,<0.1,1.05,0.60,<0.1,0.19,<0.1,0.32,<0.1,<0.1,4.26,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t rs 8013 ndc 5043,8.21,71.92,<0.1,<0.1,<0.1,1.05,0.60,<0.1,0.19,<0.1,0.32,<0.1,<0.1,4.26,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t sh 8839 ndc 5061,6.89,81.50,<0.1,<0.1,<0.1,0.13,2.29,<0.1,0.72,<0.1,0.28,0.29,<0.1,2.41,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t sh 8839 ndc 5062,6.89,81.50,<0.1,<0.1,<0.1,0.13,2.29,<0.1,0.72,<0.1,0.28,0.29,<0.1,2.41,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t second cut 2449 ndc 9990,0.79,23.7,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t second cut 2820 ndc 9188,0.80,27.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t second cut t26 ndc 11302,1.72,24.0,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t select grind 2449 ndc 9991,0.79,23.7,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t select grind 2549 ndc 7680,0.59,24.9,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t select grind 2820 ndc 9191,0.80,27.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t select grind 2844 ndc 8725,0.64,27.8,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t select grind 2912 ndc 7290,0.65,28.47,<0.1,<0.1,<0.01,0.37,0.78,<0.01,0.48,<0.01,0.30,0.17,<0.1,1.39,0,<0.1,<0.1,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol t t29 12263,0.71,27.96,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t t29 12264,0.71,27.96,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t t29 12265,0.71,27.96,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t t29 pre rolls 12266,0.71,27.96,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol t t377 pax era 13258,75.41,0,0,0,0.10,0.65,2.04,0.15,0.68,0,0.73,0.81,0.26,0,0,0.23,0.31,1.52,0.27,0,0,0,0,0,0,0,0.27,0,0.05,0,0,0,0,0,0.24,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
hybridol t t377 rythm vape 13256,75.41,0,0,0,0.10,0.65,2.04,0.15,0.68,0,0.73,0.81,0.26,0,0,0.23,0.31,1.52,0.27,0,0,0,0,0,0,0,0.27,0,0.05,0,0,0,0,0,0.24,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
hybridol t t754 rythm vape 13257,75.41,1.52,0,0,0.10,0.65,2.04,0.15,0.68,0,0.73,0.81,0.26,0,0,0.23,0.31,1.52,0.27,0,0,0,0,0,0,0,0.27,0,0.05,0,0,0,0,0,0.24,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
hybridol t t784 syringe 13259,75.41,0,0,0,0.10,0.65,2.04,0.15,0.68,0,0.73,0.81,0.26,0,0,0.23,0.31,1.52,0.27,0,0,0,0,0,0,0,0.27,0,0.05,0,0,0,0,0,0.24,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
hybridol thc oral solution 13269,3.44,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol thc oral solution ndc 10440,3.11,<0.10,0.17,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol thc oral solution ndc 10489,3.14,0.14,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol thc oral solution ndc 5284,2.98,0.30,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol thc oral solution ndc 6422,3.14,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol thc oral solution ndc 7210,3.12,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol thc oral solution ndc 8293,3.66,<0.10,0.17,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol thc oral solution ndc 9173,3.66,<0.10,0.17,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol toffee pecan chip cookie ndc 8268,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol b t29 ndc 11324,1.71,27.64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u 1875 ndc 9865,1.05,17.7,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u 2325 ndc 4665,0.55,22.7,<0.10,<0.10,0.29,0.67,0.12,0.14,0.15,<0.1,<0.1,<0.1,0.14,0.87,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u 2410 ndc 5953,0.90,23.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u 2560 ndc 6986,1.40,24.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u 2560 ndc 7109,1.40,24.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u 2580 ndc 8143,0.80,25.0,<0.10,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u 2703 ndc 6747,2.23,24.8,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u 2729 ndc 7144,1.89,25.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u cr 8219 ndc 8129,6.31,75.88,<0.1,<0.1,<0.1,0.18,0.68,<0.1,<0.1,<0.1,0.27,0.20,<0.1,2.55,0,<0.1,<0.1,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol u cr 8326 ndc 4361,3.78,79.48,<0.1,<0.1,<0.1,0.14,3.05,<0.1,1.98,<0.1,<0.1,1.14,<0.1,5.47,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pax era 385 ndc 7267,77.0,0.10,0.27,<0.10,0.33,0.81,0.81,0.22,0.27,<0.10,0.29,0.28,3.06,0.24,0,1.57,1.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pax era 388 ndc 5782,77.2,0.43,0.25,<0.10,0.29,0.80,0.80,0.19,0.24,<0.10,0.12,0.25,2.61,0.33,0,1.82,1.60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pre rolls 2703 ndc 6754,2.23,24.8,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pre rolls 2729 ndc 7146,1.89,25.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure mini vape t231 ndc 7270,77.0,0.10,0.27,<0.10,0.33,0.81,0.81,0.22,0.27,<0.10,0.29,0.28,3.06,0.24,0,0.57,1.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure mini vape t231 ndc 7683,77.0,0.10,0.27,<0.10,0.33,0.81,0.81,0.22,0.27,<0.10,0.29,0.28,3.06,0.24,0,1.57,1.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure mini vape t261 ndc 6293,85.7,1.57,0.15,<0.10,0.35,1.05,0.44,0.23,0.37,<0.10,0.35,0.14,2.96,0.45,0,1.34,0.60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure mini vape t271 ndc 5789,77.2,0.43,0.25,<0.10,0.29,0.80,0.80,0.19,0.24,<0.10,0.12,0.25,2.61,0.33,0,1.82,1.60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure oil t771 ndc 7274,77.0,0.10,0.27,<0.10,0.33,0.81,0.81,0.22,0.27,<0.10,0.29,0.28,3.06,0.24,0,1.57,1.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure oil t788 ndc 5046,77.8,1.04,0.72,<0.10,0.76,1.86,0.64,0.34,0.51,<0.1,0.40,0.21,2.39,0.59,,1.43,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure oil t888 ndc 4355,87.40,<0.1,<0.1,<0.1,<0.1,0.17,0.82,<0.1,<0.1,<0.1,0.42,0.41,2.38,<0.1,,1.4,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure pax era 420 ndc 9880,82.42,1.70,0,0,0.90,1.51,1.98,0.44,0.78,0,0,0.81,2.39,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0.51
hybridol u pure rythm disposable vape t252 ndc 9881,82.42,1.70,0,0,0.90,1.51,1.98,0.44,0.78,0,0,0.81,2.39,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0.51
hybridol u pure rythm vpen 420 ndc 9879,82.42,1.70,0,0,0.90,1.51,1.98,0.44,0.78,0,0,0.81,2.39,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0.51
hybridol u t24 pre rolls 13382,1.36,23.08,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure vpen 308 ndc 7264,77.0,0.10,0.27,<0.10,0.33,0.81,0.81,0.22,0.27,<0.10,0.29,0.28,3.06,0.24,0,1.57,1.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure vpen 349 ndc 6290,85.7,1.57,0.15,<0.10,0.35,1.05,0.44,0.23,0.37,<0.10,0.35,0.14,2.96,0.45,0,1.34,0.60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure vpen 450 ndc 5780,77.2,0.43,0.25,<0.10,<0.29,0.80,0.80,0.19,0.24,<0.10,0.12,0.25,2.61,0.33,0,1.82,1.60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u pure vpen 457 ndc 5053,77.8,1.04,0.72,<0.10,0.76,1.86,0.64,0.34,0.51,<0.1,0.40,0.21,2.39,0.59,,1.43,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u rs 7237 ndc 4354,5.97,66.40,<0.1,<0.1,0.32,0.29,0.78,0.58,0.72,<0.1,<0.1,0.28,<0.1,1.95,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u sh 8880 ndc 7187,11.21,77.59,<0.1,<0.1,<0.01,0.10,0.50,<0.01,0.15,<0.01,0.26,0.14,<0.1,2.54,0,<0.1,<0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u su 8219 ndc 7780,6.31,75.88,<0.1,<0.1,<0.1,0.18,0.68,<0.1,<0.1,<0.1,0.27,0.20,<0.1,2.55,0,<0.1,<0.1,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol u second cut 2580 ndc 8147,0.80,25.0,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u select grind 1875 ndc 9868,1.05,17.7,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u select grind 2580 ndc 8151,0.80,25.0,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u select grind 2703 ndc 6752,2.23,24.8,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u t24 13381,1.36,23.08,0,0.03,0.43,0.82,0.27,0.31,0.32,0,0.29,0.22,0.03,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
hybridol u vpen 300 ndc 4382,56.58,<0.1,<0.1,<0.1,<0.1,0.19,0.2,<0.1,<0.1,<0.1,0.14,0.1,<0.1,1.31,,0.89,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol u vpen 330 ndc 5075,55.4,0.75,0.51,<0.10,0.41,1.30,0.66,0.24,0.31,<0.10,0.31,0.23,1.71,0.42,0,1.03,0.41,0,0.40,,,,0,,,,,,,,,,,,0.42,,,,,,,0,,,,,,,,,
hybridol v 2321 ndc 3350,0.58,22.63,<0.1,<0.1,<0.1,1.57,0.94,<0.1,0.31,<0.1,1.32,0.38,<0.1,0.24,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol v 2321 ndc 3360,0.58,22.63,<0.1,<0.1,<0.1,1.57,0.94,<0.1,0.31,<0.1,1.32,0.38,<0.1,0.24,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol w  rs 8058 ndc 4659,8.24,72.34,<0.1,<0.1,0.12,0.58,0.5,<0.1,1.48,<0.1,0.36,<0.1,<0.1,3.59,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol w 2664 ndc 6945,0.84,25.8,<0.10,<0.10,<0.10,<0.10,0.23,<0.10,0.10,<0.10,<0.10,<0.10,<0.10,1.08,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol w 2664 ndc 7120,0.84,25.8,<0.10,<0.10,<0.10,<0.10,0.23,<0.10,0.10,<0.10,<0.10,<0.10,<0.10,1.08,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol w 2951 ndc 7649,0.81,28.7,<0.10,<0.10,<0.10,0.21,0.39,0.11,0.29,<0.10,0.29,0.13,0.10,1.08,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol w 2961 ndc 7261,0.61,29.0,<0.10,<0.10,<0.10,0.31,0.43,0.14,0.51,<0.10,0.29,0.14,<0.10,1.02,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol w pre rolls 2951 ndc 7656,0.81,28.7,<0.10,<0.10,<0.10,0.21,0.39,0.11,0.29,<0.10,0.29,0.13,0.10,1.08,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol w pre rolls 2961 ndc 7275,0.61,29.0,<0.10,<0.10,<0.10,0.31,0.43,0.14,0.51,<0.10,0.29,0.14,<0.10,1.02,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol w pure oil t789 ndc 9139,75.88,0,0,0,0.38,2.80,2.48,0.60,3.05,0,1.05,0.85,1.75,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol w pure pax era 379 ndc 9133,75.88,0,0,0,0.38,2.80,2.48,0.60,3.05,0,1.05,0.85,1.75,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol w pure rythm disposable vape t227 ndc 9131,75.88,0,0,0,0.38,2.80,2.48,0.60,3.05,0,1.05,0.85,1.75,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol w pure rythm disposable vape t246 ndc 8156,82.13,<0.1,<0.1,<0.1,<0.1,0.18,1.45,<0.1,0.26,<0.1,0.58,0.30,2.85,<0.1,0,0.85,1.87,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol w pure rythm vpen 379 ndc 9135,75.88,0,0,0,0.38,2.80,2.48,0.60,3.05,0,1.05,0.85,1.75,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol w pure rythm vpen 758 ndc 9137,75.88,0,0,0,0.38,2.80,2.48,0.60,3.05,0,1.05,0.85,1.75,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol w pure vpen 328 ndc 7624,82.13,<0.1,<0.1,<0.1,<0.1,0.18,1.45,<0.1,0.26,<0.1,0.58,0.30,2.85,<0.1,0,0.85,1.87,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol w pure vpen 344 ndc 7801,82.13,<0.1,<0.1,<0.1,<0.1,0.18,1.45,<0.1,0.26,<0.1,0.58,0.30,2.85,<0.1,0,0.85,1.87,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol w sh 8751 ndc 5028,3.41,84.10,<0.1,<0.1,<0.1,<0.1,0.39,<0.1,0.17,<0.1,0.38,<0.1,<0.1,2.65,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol w sh 8751 ndc 5029,3.41,84.10,<0.1,<0.1,<0.1,<0.1,0.39,<0.1,0.17,<0.1,0.38,<0.1,<0.1,2.65,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol w select grind 2951 ndc 7654,0.81,28.7,<0.10,<0.10,<0.10,0.21,0.39,0.11,0.29,<0.10,0.29,0.13,0.10,1.08,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x 2359 ndc 6427,0.49,23.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x 2359 ndc 6431,0.49,23.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x 2415 ndc 6411,0.35,23.8,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x 2415 ndc 5931,0.35,23.8,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x 2464 ndc 6786,0.98,23.66,<0.1,<0.1,<0.01,<0.01,1.71,<0.01,0.33,<0.01,0.19,0.39,<0.1,0.66,0,<0.1,<0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x 2473 ndc 7167,1.51,23.22,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x 2473 ndc 7169,1.51,23.22,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x 2546 ndc 5286,1.76,23.7,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x bd 8278 ndc 7158,19.37,63.41,<0.1,<0.1,<0.01,<0.01,2.07,<0.01,0.14,<0.01,1.06,0.59,<0.10,1.22,0,<0.1,<0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x bd 8278 ndc 7163,19.37,63.41,<0.1,<0.1,<0.01,<0.01,2.07,<0.01,0.14,<0.01,1.06,0.59,<0.1,1.22,0,<0.1,<0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x mini vape t74 ndc 6797,36.1,1.26,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x pre rolls 2359 ndc 6437,0.49,23.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x pre rolls 2381 ndc 5906,0.51,23.3,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x pre rolls 2415 ndc 5941,0.35,23.8,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x pre rolls 2546 ndc 5735,1.76,23.7,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x pure mini vape t219 ndc 6711,70.4,2.88,0.16,<0.10,<0.10,<0.10,1.76,<0.10,0.65,<0.10,1.19,0.50,1.46,0.23,0,0.74,0.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x pure mini vape t228 ndc 7245,75.5,0.70,0.78,<0.10,<0.10,0.10,1.32,<0.10,0.33,<0.10,0.56,0.37,1.65,0.16,0,0.97,1.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x pure oil t732 ndc 6927,70.4,2.88,0.16,<0.10,<0.10,<0.10,1.76,<0.10,0.65,<0.10,1.19,0.50,1.46,0.23,0,0.74,0.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x pure oil t782 ndc 7250,75.5,0.70,0.78,<0.10,<0.10,0.10,1.32,<0.10,0.33,<0.10,0.56,0.37,1.65,0.16,0,0.97,1.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x pure vpen 293 ndc 6709,70.4,2.88,0.16,<0.10,<0.10,<0.10,1.76,<0.10,0.65,<0.10,1.19,0.50,1.46,0.23,0,0.74,0.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x pure vpen 304 ndc 7241,75.5,0.70,0.78,<0.10,<0.10,0.10,1.32,<0.10,0.33,<0.10,0.56,0.37,1.65,0.16,0,0.97,1.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x sh 8564 ndc 7154,10.50,75.14,<0.1,<0.1,<0.01,<0.01,2.58,<0.01,0.13,<0.01,0.78,0.41,<0.1,1.40,0,<0.1,<0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x select grind 2464 ndc 6801,0.98,23.66,<0.1,<0.1,<0.01,<0.01,1.71,<0.01,0.33,<0.01,0.19,0.39,<0.1,0.66,0,<0.1,<0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x select grind 2473 ndc 7181,1.51,23.22,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol x select grind ndc 5946,0.35,23.8,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol y mini vape t71 ndc 5237,31.7,3.98,0.19,<0.10,<0.10,0.21,1.07,<0.10,0.63,<0.10,0.60,0.34,0.84,0.22,0,0.46,0.25,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybridol y pure vpen 411 ndc 5067,62.9,8.01,0.41,<0.10,0.11,0.56,1.70,0.21,1.31,<0.1,1.03,0.59,1.74,0.49,,0.94,0.55,,0.27,,,,,,,,,,,,,,,,0.11,,,,,,,,0.15,,,,,,,,0.12
hybridol z  cr 8510 ndc 6480,9.45,75.65,<0.1,<0.1,<0.01,<0.01,0.58,<0.01,<0.01,<0.01,0.14,0.19,0.46,1.91,0,<0.1,<0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z  sh 8800 ndc 10339,5.77,82.23,0,0,0,0,0.42,0,0.13,0,0,0.23,0,2.70,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0
hybridol z 2053 ndc 9294,0.63,19.9,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2141 ndc 9924,0.81,20.6,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
